precision,recall,f1_score,support
0.806609087495306,0.9266609145815358,0.8624774141738606,2318
0.9500693481276006,0.8865401207937877,0.9172059808078554,2318
0.9463392451114143,0.8977566867989646,0.9214080141686961,2318
0.8826175869120655,0.9309749784296808,0.9061515851354189,2318
0.930628272251309,0.9201898188093184,0.9253796095444685,2318
0.8441021788129226,0.9693701466781708,0.9024096385542169,2318
0.9204593789876648,0.9335634167385677,0.9269650888841293,2318
0.8723989006674518,0.9585849870578085,0.9134635149023639,2318
0.8739758095981272,0.9663503019844694,0.9178447039541078,2318
0.8843298163345057,0.9762726488352028,0.9280295263481648,2318
0.8274352426121854,0.9784296807592753,0.8966198853528365,2318
0.907070707070707,0.9685073339085418,0.9367828082620487,2318
0.9287796751353603,0.9620362381363244,0.945115490570036,2318
0.902602523659306,0.9874892148403797,0.9431396786155748,2318
0.9488155668358714,0.9676445211389129,0.9581375480563862,2318
